id,type,classification,road_segment_type,duration,street_name_full,line_weight,route_coming_soon,construction_year,geometry_line
1355,OFF ROAD,Shared Trail,,1387,,1,false,,"MULTILINESTRING ((-113.59196773626005 53.479456543204876, -113.59226865584527 53.479406813582365, -113.59246136534422 53.47936611526914, -113.59276956157505 53.47926536513887, -113.59318683240402 53.47913401490735, -113.59342636600063 53.47906044005218, -113.5934704125859 53.47904691032865, -113.5935405703304 53.47902776466512, -113.59367541529058 53.478993029284965, -113.59395653149969 53.47892438921312, -113.59400355105706 53.47891649304831, -113.59414462194472 53.47889280816959, -113.59429513633894 53.47887904632799, -113.59471860297839 53.4789076137277, -113.59501913889721 53.47895386864127, -113.59518349587275 53.47898440109011, -113.59545456646002 53.47900974462952, -113.59555220941283 53.47901771089216, -113.59571568366664 53.479021591755554, -113.59580729754893 53.47901522768432, -113.59583146210805 53.47901354786836, -113.59600429211358 53.47898982815563, -113.59613027297107 53.47897364095122, -113.59661204122166 53.47895199212935, -113.59681799183713 53.478950136911834, -113.59699269583118 53.478945010369195, -113.59723077633019 53.47894643575935, -113.59745949202566 53.47894780333673, -113.59770651481328 53.47894432338125, -113.59800355189499 53.4789872644155, -113.5981766046255 53.47900783134802, -113.59842720995839 53.47905546864882, -113.59875261002657 53.47910564876745, -113.59895082803938 53.479123970000714, -113.59922744918416 53.47913621525804, -113.5993428818434 53.4791372951123))"
1356,OFF ROAD,Shared Trail,,660,,1,false,,"MULTILINESTRING ((-113.5993428818434 53.4791372951123, -113.59935639747859 53.47913742149631, -113.59961735643031 53.47912755727496, -113.59990465635838 53.47909543346514, -113.60015439737236 53.47906573348909, -113.60040871039419 53.4790438314729, -113.60054619309665 53.47903877059818, -113.60076786096394 53.47903878529114, -113.60100788933597 53.47904270824501, -113.60114866658726 53.479044689084766, -113.60138391335951 53.4790453302165, -113.6015718437571 53.47905667351062, -113.60175039472502 53.47905963085054, -113.60190230007788 53.47905612004671, -113.60205305858243 53.4790589732992, -113.60220534226288 53.47906784940965, -113.60233614718128 53.47907793631864))"
1357,OFF ROAD,Shared Trail,,285,,1,false,,"MULTILINESTRING ((-113.60048130020661 53.47841493254398, -113.60059142446923 53.4785034917502, -113.60175871160324 53.478653708947505, -113.60232358651825 53.47888979329067, -113.60268612176453 53.47899508823237, -113.60286044931901 53.479013013996465, -113.6030048609544 53.47910942754762))"
1358,OFF ROAD,Shared Trail,,209,,1,false,,"MULTILINESTRING ((-113.60233614718128 53.47907793631864, -113.60251723071876 53.479087549084404, -113.60274130634555 53.4790996593459, -113.60290167841889 53.479107713852216, -113.6030048609544 53.47910942754762))"
1359,OFF ROAD,Shared Trail,,324,,1,false,,"MULTILINESTRING ((-113.6030048609544 53.47910942754762, -113.60319154067071 53.47912776606547, -113.60340714281936 53.479146955741804, -113.60362160838542 53.47918736446597, -113.60366076729565 53.479198807972324, -113.60384699430105 53.47925321862379, -113.60403595328498 53.47930686413815, -113.60419728975594 53.47935345648805))"
1360,OFF ROAD,Shared Trail,,476,,1,false,,"MULTILINESTRING ((-113.40948545347763 53.472249730428345, -113.40952116128167 53.47223905378094, -113.40959669656557 53.47220213584359, -113.40968164368643 53.4721666536946, -113.40976041851653 53.472138408331986, -113.4098301639604 53.47211097330596, -113.40990506940645 53.47208291142821, -113.40998350455165 53.47205419621352, -113.41005494826321 53.47202275619341, -113.4101173239316 53.471991798361735, -113.41018541779924 53.47196004690752, -113.41040039849315 53.471829466604945))"
1361,OFF ROAD,Shared Trail,,1086,,1,false,,"MULTILINESTRING ((-113.40912613281733 53.47000001169655, -113.40911615172115 53.46999734212315, -113.40906105391625 53.46997762254694, -113.40899687971401 53.46996214033049, -113.40893594172172 53.46995779251979, -113.40883668255138 53.46996741388367, -113.40870669159423 53.469990654927514, -113.40862092315493 53.47000638669351, -113.40853646648766 53.47002372060885, -113.40845322988368 53.470040367675026, -113.40836514336638 53.470051337480804, -113.40827657292135 53.470065124050464, -113.40818607202638 53.470074710851904, -113.40809301462897 53.47008425543992, -113.4079989599072 53.470089568020015, -113.40790399456111 53.47009595948094, -113.40781248649927 53.470107339417034, -113.4077241553755 53.47012077297863, -113.40768350856003 53.47013050329381, -113.407565711162 53.47016022694751, -113.40749408632033 53.47019323450953, -113.40738340606457 53.47023211429421, -113.40729148549677 53.47026198811374, -113.40717759734038 53.47028771015477, -113.40710770711068 53.47032296672981, -113.4070157219756 53.470356558446134, -113.40691588422962 53.47036948102537, -113.40686977544505 53.47036425864707))"
1362,OFF ROAD,Shared Trail,,208,,1,false,,"MULTILINESTRING ((-113.4067489672146 53.47029311568598, -113.40675959581189 53.470310912985006, -113.4068066182778 53.47034096754847, -113.40684619567858 53.470358352062334, -113.40686855953207 53.4703641973331))"
1363,OFF ROAD,Shared Trail,,210,,1,false,,"MULTILINESTRING ((-113.40666048295085 53.47007700749545, -113.40671158659354 53.47010847170564, -113.40673905997615 53.470142980537126, -113.40674924674275 53.470203532049624, -113.4067489672146 53.47029311568598))"
1364,OFF ROAD,Shared Trail,,666,,1,false,,"MULTILINESTRING ((-113.40666048295085 53.47007700749545, -113.40662413469741 53.47008098398875, -113.4065534898179 53.470084432685255, -113.40646206264637 53.470078922435135, -113.40639947479207 53.470071535851, -113.40632160402257 53.47006609283238, -113.40626387335121 53.47007490492171, -113.40622285768498 53.47009997833816, -113.40620886393012 53.470131248270505, -113.40616765065819 53.4701704720912, -113.40610781212904 53.47020859357322, -113.40603262601326 53.47025371812967, -113.40590484812024 53.47030362999833, -113.40582145637329 53.47032950235811, -113.40575249345366 53.47034781054985, -113.40571833751893 53.470360189011004, -113.40565825809232 53.470380137044685))"
